brand_id;product_id;brand;product_name;format;serving_size_g;serving_count;volume_g;price_usd;discount_pct;serving_price;key_ingredient;channel;url;date_collected;purchase_type
4;25;Four Sigmatic;Focus Creamer - Sweet & Creamy;creamer;;30;;15;50;0.5;;own_site;https://us.foursigmatic.com/products/focus-creamer-sweet-creamy;20.05.2026;subscription
4;25;Four Sigmatic;Focus Creamer - Sweet & Creamy;creamer;;60;;30;50;0.5;;own_site;https://us.foursigmatic.com/products/focus-creamer-sweet-creamy;20.05.2026;subscription
4;25;Four Sigmatic;Focus Creamer - Sweet & Creamy;creamer;;15;;12;20;0.8;;own_site;https://us.foursigmatic.com/products/focus-creamer-sweet-creamy;20.05.2026;single
4;25;Four Sigmatic;Focus Creamer - Sweet & Creamy;creamer;;30;;24;20;0.8;;own_site;https://us.foursigmatic.com/products/focus-creamer-sweet-creamy;20.05.2026;single
4;25;Four Sigmatic;Focus Creamer - Sweet & Creamy;creamer;;60;;48;20;0.8;;own_site;https://us.foursigmatic.com/products/focus-creamer-sweet-creamy;20.05.2026;single
4;25;Four Sigmatic;Focus Creamer - Sweet & Creamy;creamer;;30;119.9;22.99;0;0.7663;lion's mane;amazon;https://www.amazon.com/dp/B0GS3SSFMQ;25.05.2026;single
4;26;Four Sigmatic;Focus Creamer - Hazelnut;creamer;;15;;7.5;50;0.5;;own_site;https://us.foursigmatic.com/products/focus-creamer-hazelnut;20.05.2026;subscription
4;26;Four Sigmatic;Focus Creamer - Hazelnut;creamer;;30;;15;50;0.5;;own_site;https://us.foursigmatic.com/products/focus-creamer-hazelnut;20.05.2026;subscription
4;26;Four Sigmatic;Focus Creamer - Hazelnut;creamer;;60;;30;50;0.5;;own_site;https://us.foursigmatic.com/products/focus-creamer-hazelnut;20.05.2026;subscription
4;26;Four Sigmatic;Focus Creamer - Hazelnut;creamer;;15;;12;20;0.8;;own_site;https://us.foursigmatic.com/products/focus-creamer-hazelnut;20.05.2026;single
4;26;Four Sigmatic;Focus Creamer - Hazelnut;creamer;;30;;24;20;0.8;;own_site;https://us.foursigmatic.com/products/focus-creamer-hazelnut;20.05.2026;single
4;26;Four Sigmatic;Focus Creamer - Hazelnut;creamer;;60;;48;20;0.8;;own_site;https://us.foursigmatic.com/products/focus-creamer-hazelnut;20.05.2026;single
4;26;Four Sigmatic;Focus Creamer - Hazelnut;creamer;;30;119.9;19.89;0;0.663;lion's mane;amazon;https://www.amazon.com/dp/B0GS3CXL5H;25.05.2026;single
4;27;Four Sigmatic;Focus Creamer - Vanilla;creamer;;15;;7.5;50;0.5;;own_site;https://us.foursigmatic.com/products/focus-creamer-vanilla-coconut;20.05.2026;subscription
4;27;Four Sigmatic;Focus Creamer - Vanilla;creamer;;30;;15;50;0.5;;own_site;https://us.foursigmatic.com/products/focus-creamer-vanilla-coconut;20.05.2026;subscription
4;27;Four Sigmatic;Focus Creamer - Vanilla;creamer;;60;;30;50;0.5;;own_site;https://us.foursigmatic.com/products/focus-creamer-vanilla-coconut;20.05.2026;subscription
4;27;Four Sigmatic;Focus Creamer - Vanilla;creamer;;15;;12;20;0.8;;own_site;https://us.foursigmatic.com/products/focus-creamer-vanilla-coconut;20.05.2026;single
4;27;Four Sigmatic;Focus Creamer - Vanilla;creamer;;30;;24;20;0.8;;own_site;https://us.foursigmatic.com/products/focus-creamer-vanilla-coconut;20.05.2026;single
4;27;Four Sigmatic;Focus Creamer - Vanilla;creamer;;60;;48;20;0.8;;own_site;https://us.foursigmatic.com/products/focus-creamer-vanilla-coconut;20.05.2026;single
4;27;Four Sigmatic;Focus Creamer - Vanilla;creamer;;30;119.9;11.04;0;0.368;lion's mane;amazon;https://www.amazon.com/dp/B0BYL72YFX;25.05.2026;single
4;27;Four Sigmatic;Focus Creamer - Vanilla;creamer;;30;119.9;10.49;5;0.3497;lion's mane;amazon;https://www.amazon.com/dp/B0BYL72YFX;25.05.2026;subscription
4;27;Four Sigmatic;Focus Creamer - Vanilla;creamer;;30;239.8;22.08;0;0.736;lion's mane;amazon;https://www.amazon.com/dp/B0GVVXKRXN;25.05.2026;single
4;27;Four Sigmatic;Focus Creamer - Vanilla;creamer;;30;239.8;20.98;5;0.6993;lion's mane;amazon;https://www.amazon.com/dp/B0GVVXKRXN;25.05.2026;subscription
4;28;Four Sigmatic;Focus Creamer - Chocolate;creamer;;15;;7.5;50;0.5;;own_site;https://us.foursigmatic.com/products/focus-creamer-cacao-coconut;20.05.2026;subscription
4;28;Four Sigmatic;Focus Creamer - Chocolate;creamer;;30;;15;50;0.5;;own_site;https://us.foursigmatic.com/products/focus-creamer-cacao-coconut;20.05.2026;subscription
4;28;Four Sigmatic;Focus Creamer - Chocolate;creamer;;60;;30;50;0.5;;own_site;https://us.foursigmatic.com/products/focus-creamer-cacao-coconut;20.05.2026;subscription
4;28;Four Sigmatic;Focus Creamer - Chocolate;creamer;;15;;12;20;0.8;;own_site;https://us.foursigmatic.com/products/focus-creamer-cacao-coconut;20.05.2026;single
4;28;Four Sigmatic;Focus Creamer - Chocolate;creamer;;30;;24;20;0.8;;own_site;https://us.foursigmatic.com/products/focus-creamer-cacao-coconut;20.05.2026;single
4;28;Four Sigmatic;Focus Creamer - Chocolate;creamer;;60;;48;20;0.8;;own_site;https://us.foursigmatic.com/products/focus-creamer-cacao-coconut;20.05.2026;single
