brand;product_name;format;serving_size_g;serving_count;volume_g;price_usd;discount_pct;serving_price;key_ingredient;channel;url;date_collected;purchase_type;status
Pella Nutrition;Moringa and Dandelion Tea – With Orange, Cinnamon, Strawberry, and Safflower Petals – Gluten-Free, Vegan, Kosher – Caffeine-Free, Healthy Energy Drink – Herbal Blend for Focus & Wellness (25 Tea Bags);instant;;25;;9.95;0;0.398;;amazon;https://www.amazon.com/dp/B0F4GHCL89;25.05.2026;single;-
Pella Nutrition;Chamomile Tea with Hibiscus, Peppermint, Spearmint, Rosehip, Valerian Root, Lemongrass, Cornflowers – Kosher, Vegan, No Caffeine – Calming Mint-Citrus Evening Herbal Drink for Relaxation (25 Tea Bags);instant;;25;;11.99;0;0.4796;;amazon;https://www.amazon.com/dp/B0F4M6TNCN;25.05.2026;single;-
Pella Nutrition;Ginger and Dandelion Root Tea – With Burdock Root, Licorice, Holy Basil, Edible Flowers Rose, Elderflower & Safflower – Vegan, Kosher, Caffeine-Free – Supports Hydration & Daily Wellness (25 Tea Bags);instant;;25;;13.95;0;0.558;;amazon;https://www.amazon.com/dp/B0F497YHKR;25.05.2026;single;-
Pella Nutrition;Lemon Balm and Ginger Tea – With Peppermint, Cinnamon, Cardamom, Licorice, Fennel, Burdock Root, and Cornflower Edible Flowers – Vegan, Kosher – Caffeine-Free Herbal Drink for Gut Health (25 Tea Bags);instant;;25;;31.72;0;1.2688;;amazon;https://www.amazon.com/dp/B0F48ZQFH5;25.05.2026;single;-
Rasa;Rasa Raspberry Hibiscus Hydration | Organic Boosted Iced Tea with Adaptogens and Mushrooms | Gluten-Free, Premium Electrolyte Powder Drink Mix, Refreshing Hydration (6 oz / 24 Servings);instant;;24;180;39.99;0;1.6663;mushroom blend;amazon;https://www.amazon.com/dp/B0D5J5VSRR;24.05.2026;single;-
Rasa;Rasa Calm – Adaptogenic Mushroom Sleep Tonic | Vegan, Keto, Ayurveda Wellness Tonic with Ashwagandha + Reishi (8 oz / 30 Servings);ground;;30;226.8;49.99;0;1.6663;reishi;amazon;https://www.amazon.com/dp/B08L6TV1LX;24.05.2026;single;-
Rasa;Rasa Calm – Adaptogenic Mushroom Sleep Tonic | Vegan, Keto, Ayurveda Wellness Tonic with Ashwagandha + Reishi (8 oz / 30 Servings);ground;;30;226.8;44.99;10;1.4997;reishi;amazon;https://www.amazon.com/dp/B08L6TV1LX;24.05.2026;subscription;-
Ryze;RYZE SUPERFOODS Mushroom Chicory with 6 Organic Adaptogenic Mushrooms, Keto Decaf Alternative with Chicory Root for Energy, Focus, Digestion, Immunity with Lions Mane, Turkey Tail, Shiitake, 30 Serv;instant;;30;178.6;44.99;0;1.4997;mushroom blend;amazon;https://www.amazon.com/dp/B0DFRXQS9R;25.05.2026;single;-
Ryze;RYZE SUPERFOODS Mushroom Chicory with 6 Organic Adaptogenic Mushrooms, Keto Decaf Alternative with Chicory Root for Energy, Focus, Digestion, Immunity with Lions Mane, Turkey Tail, Shiitake, 30 Serv;instant;;30;178.6;42.74;5;1.4247;mushroom blend;amazon;https://www.amazon.com/dp/B0DFRXQS9R;25.05.2026;subscription;-
Ryze;RYZE SUPERFOODS Mushroom Protein Overnight Oats, Oatmeal with 6 Adaptogenic Mushrooms and 20g Grass-Fed Whey Protein & Chia Seeds, Lions Mane, Turkey Tail, Shiitake, Reishi, Healthy Breakfast. 14 Servings.;instant;;14;1071.6;59.99;0;4.285;reishi;amazon;https://www.amazon.com/dp/B0DFRPGYWW;25.05.2026;single;-
